Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-09-08 00:00:00+10:00,220.5,221.1699981689453,219.1199951171875,221.14999389648438,389375,0.0,0.0
2025-09-09 00:00:00+10:00,220.1999969482422,220.59500122070312,217.52999877929688,218.8300018310547,521644,0.0,0.0
2025-09-10 00:00:00+10:00,219.14999389648438,221.91000366210938,218.7899932861328,220.7899932861328,427046,0.0,0.0
2025-09-11 00:00:00+10:00,220.5,220.77000427246094,218.625,219.91000366210938,432362,0.0,0.0
2025-09-12 00:00:00+10:00,221.2899932861328,224.9499969482422,220.9199981689453,224.08999633789062,547929,0.0,0.0
2025-09-15 00:00:00+10:00,220.00999450683594,223.99000549316406,219.86000061035156,223.99000549316406,493590,0.0,0.0
2025-09-16 00:00:00+10:00,224.13999938964844,226.74000549316406,223.8699951171875,226.1699981689453,530624,0.0,0.0
2025-09-17 00:00:00+10:00,226.1199951171875,226.1199951171875,221.08999633789062,223.6199951171875,591041,0.0,0.0
2025-09-18 00:00:00+10:00,223.35000610351562,224.39999389648438,222.14999389648438,223.4199981689453,494891,0.0,0.0
2025-09-19 00:00:00+10:00,224.5,226.86000061035156,222.55999755859375,222.55999755859375,1422108,0.0,0.0
2025-09-22 00:00:00+10:00,223.33999633789062,224.38999938964844,220.94000244140625,221.86000061035156,519597,0.0,0.0
2025-09-23 00:00:00+10:00,221.5500030517578,223.25999450683594,219.6649932861328,222.4199981689453,588195,0.0,0.0
2025-09-24 00:00:00+10:00,221.50999450683594,222.4199981689453,217.0800018310547,218.42999267578125,621652,0.0,0.0
2025-09-25 00:00:00+10:00,217.0,218.63999938964844,215.3800048828125,215.8699951171875,558030,0.0,0.0
2025-09-26 00:00:00+10:00,214.5,217.47500610351562,213.8000030517578,217.2899932861328,621526,0.0,0.0
2025-09-29 00:00:00+10:00,217.94000244140625,220.8000030517578,217.52000427246094,220.1999969482422,453933,0.0,0.0
2025-09-30 00:00:00+10:00,219.4600067138672,222.16000366210938,218.39999389648438,219.3300018310547,619202,0.0,0.0
2025-10-01 00:00:00+10:00,217.25,220.00999450683594,216.59500122070312,219.69000244140625,475262,0.0,0.0
2025-10-02 00:00:00+10:00,221.41000366210938,224.0,220.11500549316406,221.0,584208,0.0,0.0
2025-10-03 00:00:00+10:00,221.0,224.92999267578125,219.35000610351562,224.92999267578125,763631,0.0,0.0
2025-10-06 00:00:00+11:00,226.0,226.0,222.4499969482422,223.7100067138672,317065,0.0,0.0
